,summary,polarity_s,subjectivity_s
6,best gm screen ever,1.0,0.3
28,wonderful designs,1.0,1.0
32,perfect,1.0,1.0
80,theyre the perfect size to keep in the car or a diaper ,1.0,1.0
133,perfect for preschooler,1.0,1.0
139,awesome sticker activity for the price,1.0,1.0
160,awesome book,1.0,1.0
162,he was very happy with his gift,1.0,1.0
186,awesome,1.0,1.0
209,awesome and welldesigned for 9 year olds,1.0,1.0
412,perfect,1.0,1.0
468,excellent,1.0,1.0
536,excellent,1.0,1.0
541,excellent therapy tool,1.0,1.0
572,the pigeon is the perfect addition to a school library,1.0,1.0
591,best easter teaching tool,1.0,0.3
639,wonderful,1.0,1.0
643,all f the mudpuppy toys are wonderful,1.0,1.0
649,awesome puzzle,1.0,1.0
654,not the best quality,1.0,0.3
